Board: Lock         Tuesday, January 08, 2013 at 07:59:38  
 
Part Lister output from project: Lock
Generated on Tuesday, January 08, 2013 at 07:59:38
 
 
#    	QTY  	Vendor P.N.                    	 UCOST  	UCOST1K+ 	REFDES                                                                                                       	Device                               	PKG_TYPE                         	Value  	Ext Cost 	Supplier
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 	   1 	587-1295-1-ND                  	   0.25 	 DIGIKEY 	C1                                                                                                           	EMK212BJ106KG-T                      	CAPC2013X135N                    	10UF   	         	 DIGIKEY     
   2 	   1 	587-1305-1-ND                  	   0.27 	 DIGIKEY 	C2                                                                                                           	JMK212BJ226MG-T                      	CAPC2013X135N                    	22UF   	         	 DIGIKEY     
   3 	   1 	493-5895-1-ND                  	   0.53 	 DIGIKEY 	C3                                                                                                           	UVR0J102MPD1TA                       	CAPPRD350W60D800H1300P           	1000UF 	         	 DIGIKEY     
   4 	   3 	587-1242-1-ND                  	   0.10 	 DIGIKEY 	C4 C7 C9                                                                                                     	LMK107B7105KA-T                      	CAPC1608X90N_Taiyo_Yuden_MK107   	1UF    	         	 DIGIKEY     
   5 	   1 	445-5044-1-ND                  	   0.10 	 DIGIKEY 	C5                                                                                                           	C1608C0G1H8R2C                       	CAPC1608X90N_TDK                 	8.2PF  	         	 DIGIKEY     
   6 	   1 	478-1175-1-ND                  	   0.10 	 DIGIKEY 	C6                                                                                                           	06035A101JAT2A                       	CAPC1608X90N_AVX                 	100pF  	         	 DIGIKEY     
   7 	   2 	478-1239-1-ND                  	   0.10 	 DIGIKEY 	C8 C10                                                                                                       	0603YC104KAT2A                       	CAPC1608X90N_AVX                 	0.1UF  	         	 DIGIKEY     
   8 	   1 	754-1084-1-ND                  	   0.32 	 DIGIKEY 	D1                                                                                                           	APD3224SECK-F01                      	LEDSC320X240X250-2N              	       	         	 DIGIKEY     
   9 	   1 	507-1480-1-ND                  	   0.20 	 DIGIKEY 	F1                                                                                                           	0ZCA0050FF2G                         	FUSM3317X55N                     	       	         	 DIGIKEY     
  10 	   1 	445-6638-1-ND                  	   0.54 	 DIGIKEY 	L1                                                                                                           	VLS252012ET-2R2M                     	INDM2020X120N                    	2.2UH  	         	 DIGIKEY     
  11 	   1 	DMN3404LDICT-ND                	   0.45 	 DIGIKEY 	M1                                                                                                           	DMN3404L-7                           	SOT50P160X90-3N                  	       	         	 DIGIKEY     
  12 	   1 	DMG1012T-7DICT-ND              	   0.31 	 DIGIKEY 	M2                                                                                                           	DMG1012T-7                           	SOT50P160X90-3N                  	       	         	 DIGIKEY     
  13 	   1 	S9172-ND                       	   0.68 	 DIGIKEY 	P1                                                                                                           	SBH11-PBPC-D10-ST-BK                 	HDR20X2_01IN_VTSHR_THRU          	       	         	 DIGIKEY     
  14 	   2 	S5751-10-ND                    	   1.11 	 DIGIKEY 	P2 P3                                                                                                        	NPPN101BFCN-RC                       	RCPT10X1_2MM_THRU                	       	         	 DIGIKEY     
  15 	   1 	609-3210-ND                    	   0.29 	 DIGIKEY 	P4                                                                                                           	HDR6X2_01IN_RTSHR_THRU               	HDR6PX2_01_THRU                  	       	         	 DIGIKEY     
  16 	   3 	P0.0ACT-ND                     	   0.05 	 DIGIKEY 	R1 R2 R7                                                                                                     	ERJ-6GEY0R00V                        	RESC2013X70N                     	0OHM   	         	 DIGIKEY     
  17 	   1 	311-5.60KHRCT-ND               	   0.10 	 DIGIKEY 	R3                                                                                                           	RC0603FR-075K6L                      	RESC1608X55N                     	5.6KOH 	         	 DIGIKEY     
     	     	                               	        	         	                                                                                                             	                                     	                                 	M      	         	        
  18 	   1 	311-1.00KHRCT-ND               	   0.10 	 DIGIKEY 	R4                                                                                                           	RC0603FR-071KL                       	RESC1608X55N                     	1KOHM  	         	 DIGIKEY     
  19 	   1 	P10VCT-ND                      	   0.33 	 DIGIKEY 	R5                                                                                                           	ERJ-14YJ100U                         	RESC3225X70N                     	10OHM  	         	 DIGIKEY     
  20 	   1 	311-62ERCT-ND                  	   0.10 	 DIGIKEY 	R6                                                                                                           	RC1206JR-0762RL                      	RESC3116X65N                     	62OHM  	         	 DIGIKEY     
  21 	   1 	P10KGCT-ND                     	   0.10 	 DIGIKEY 	R8                                                                                                           	ERJ-3GEYJ103V                        	RC0603                           	10KOHM 	         	 DIGIKEY     
  22 	   1 	P.27RCT-ND                     	   0.54 	 DIGIKEY 	R9                                                                                                           	ERJ-8RQFR27V                         	RC1206                           	0.27OH 	         	 DIGIKEY     
     	     	                               	        	         	                                                                                                             	                                     	                                 	M      	         	        
  23 	   1 	P38.3KHCT-ND                   	   0.10 	 DIGIKEY 	R10                                                                                                          	ERJ-3EKF3832V                        	RC0603                           	38.3KO 	         	 DIGIKEY     
     	     	                               	        	         	                                                                                                             	                                     	                                 	HM     	         	        
  24 	   1 	N/A                            	UNKNOWN 	     N/A 	ST1                                                                                                          	4_AA_ALKALINE_BATTERIES              	STUFF                            	       	         	     N/A          
  25 	   1 	602-1213-ND                    	  35.00 	 DIGIKEY 	ST2                                                                                                          	XB24-WFPIT-001                       	STUFF                            	       	         	 DIGIKEY    
  26 	   1 	TCS20DLRLF(TCT-ND              	   0.58 	 DIGIKEY 	ST3                                                                                                          	HALL_EFFECT_SENSOR                   	STUFF                            	       	         	 DIGIKEY     
  27 	   1 	987-1292-ND                    	   0.67 	 DIGIKEY 	ST4                                                                                                          	POT                                  	STUFF                            	       	         	 DIGIKEY     
  28 	   1 	UNKNOWN                        	   5.70 	ALIEXPRE 	ST5                                                                                                          	MOTOR                                	STUFF                            	       	         	ALIEXPRE   
     	     	                               	        	      SS 	                                                                                                             	                                     	                                 	       	         	      SS            
  29 	   1 	296-29879-1-ND                 	   2.58 	 DIGIKEY 	U1                                                                                                           	TPS62172DSGT                         	SON50P200X215X80-9N              	       	         	 DIGIKEY     
  30 	   1 	ATMEGA328P-AU-ND               	   3.05 	 Digikey 	U2                                                                                                           	ATMEGA328P-AU                        	QFP80P900X900X120-32N            	       	         	 Digikey     
  31 	   1 	DMG9926USD-13DICT-ND           	   0.49 	 Digikey 	U3                                                                                                           	DMG9926USD-13                        	SOIC127P600X175-8N               	       	         	 Digikey     
  32 	   1 	TB6552FNG(O,8,EL)              	   1.75 	 DIGIKEY 	U4                                                                                                           	TB6552FNG                            	SOP65P640X160-16N                	       	         	 DIGIKEY     
  33 	   1 	296-14596-1-ND                 	   0.42 	 DIGIKEY 	U5                                                                                                           	LM2904DR                             	SOP65P490X110-8N                 	       	         	 DIGIKEY     
  34 	   1 	458-1135-ND                    	   1.11 	 DIGIKEY 	U9                                                                                                           	PSR-57F08S02-JQ                      	speaker                          	       	         	 DIGIKEY     
     	---- 	                               	        	         	                                                                                                             	                                     	                                 	       	         	        
     	  40 	                               	        	         	                                                                                                             	                                     	                                 	       	         	        
